emotion,audio_path
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_C_A_dentro.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_F_B_cucaracha.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_C_B_aplausos.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_F_B_atractivo.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_M_A_antes.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_M_B_escurridizo.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_F_A_izquierda.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_F_A_tarde.wav
Neutral,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Neutral_C_A_fuera.wav
Happiness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Happiness_F_B_fresco.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_M_B_conflicto.wav
Fear,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Fear_F_B_amenazado.wav
Sadness,/mexican-emotional-speech-databasemesd/cy34mh68j9-5/Mexican Emotional Speech Database (MESD)/Sadness_F_A_dentro.wav
